Ticker,Stock Name,Sector,Today's Price,Market Cap,Daily Change (%),Weekly Change (%),Monthly Change (%),3-Month Change (%),Yearly Change (%),5-Year Change (%),EPS (Trailing),P/E Ratio,P/B Ratio,Total Revenue (Latest Quarter),Total Revenue (Previous Quarter),Total Revenue % Change,Gross Profit (Latest),Gross Profit (Previous),Gross Profit % Change,Net Profit (Latest),Net Profit (Previous),Net Profit % Change,Annualized EPS (Latest),Annualized EPS (Previous),Annualized EPS % Change,Book Value per Share (Latest),Book Value per Share (Previous),Book Value per Share % Change,Total Assets (Latest),Total Assets (Previous),Total Assets % Change,Total Liabilities (Latest),Total Liabilities (Previous),Total Liabilities % Change,Paid-up Capital (Latest),Paid-up Capital (Previous),Paid-up Capital % Change,Reserves (Latest),Reserves (Previous),Reserves % Change,ROE,D/E Ratio
ACLBSL,Aarambha Chautari Laghubitta Bittiya Sanstha Limited,Microcredit,894.90,3.29 Ar,+0.01%,-0.57%,-4.79%,-6.29%,-14.37%,-28.63%,27.79,32.21,4.95,819953.84,605751.25,+35.36%,474512.62,333973.72,+42.08%,102017.98,93684.51,+8.90%,27.79,34.02,-18.33%,180.9,179.21,+0.95%,5950772.97,6160957.14,-3.41%,5286596.48,5503003.4,-3.93%,367143.41,367143.41,0.00%,297033.08,290810.33,+2.14%,0.1536,7.9596
ADBL,Agriculture Development Bank,Commercial Banks,297.00,41.15 Ar,+0.13%,-0.67%,-8.62%,-6.43%,-2.57%,-20.05%,16.11,18.44,1.27,20974502.04,15446740.24,+35.79%,9121508.26,6634494.24,+37.49%,2630641.84,1393973.95,+88.72%,16.11,10.71,+50.37%,233.99,230.49,+1.52%,420134125.1,399787449.61,+5.09%,381227797.3,361381539.74,+5.49%,19738231.09,19738231.09,0.00%,19168096.67,18667678.78,+2.68%,0.0688,9.7986
AHL,Asian Hydropower Limited,Hydro Power,366.00,1.24 Ar,+0.60%,-6.15%,-11.96%,-26.51%,-41.89%,+11.38%,-17.41,-21.03,5.35,81461.84,51964.86,+56.76%,60172.5,30152.73,+99.56%,-59183.63,-49240.48,+20.19%,-17.41,-19.31,-9.86%,68.43,71.36,-4.10%,1351716.06,1278625.89,+5.72%,1119042.8,1036009.49,+8.01%,340000.0,340000.0,0.00%,-107326.74,-97383.6,+10.21%,-0.2544,4.8095
AHPC,Arun Valley Hydropower Development,Hydro Power,248.20,9.55 Ar,-0.12%,-1.78%,-8.41%,-11.95%,-8.44%,-15.83%,3.41,72.73,2.26,287047.96,229118.16,+25.28%,240411.7,201121.98,+19.54%,137892.44,133685.44,+3.15%,3.41,4.41,-22.64%,109.71,110.71,-0.91%,4720989.53,4773912.25,-1.11%,288450.57,300620.02,-4.05%,4040403.15,4040403.15,0.00%,392135.81,432889.09,-9.41%,0.0311,0.0651
AKJCL,Ankhu Khola Jalvidhyut Company Ltd.,Hydro Power,340.30,6.81 Ar,-1.16%,-0.79%,-5.99%,-22.66%,+71.00%,+62.05%,3.18,107.02,3.63,224292.68,172480.16,+30.04%,188284.16,142440.52,+32.18%,63595.21,38335.96,+65.89%,3.18,2.56,+24.42%,93.69,92.42,+1.37%,2558235.75,2557504.45,+0.03%,684504.47,709032.42,-3.46%,2000000.0,2000000.0,0.00%,-126268.72,-151527.97,-16.67%,0.0339,0.3653
AKPL,Arun Kabeli Power Ltd.,Hydro Power,245.00,9.55 Ar,+0.82%,+0.41%,-5.84%,-9.73%,-5.08%,-17.10%,2.05,119.79,2.41,613304.19,498284.73,+23.08%,536557.72,447270.46,+19.96%,79681.7,143780.05,-44.58%,2.05,4.92,-58.44%,101.77,103.42,-1.59%,7316444.41,7441625.99,-1.68%,3351537.89,3412621.12,-1.79%,3895942.1,3895942.1,0.00%,68964.42,133062.78,-48.17%,0.0201,0.8453
ALBSL,Asha Laghubitta Bittiya Sanstha Ltd,Microcredit,"1,190.00",8.72 Ar,+8.29%,+7.40%,+7.43%,+6.82%,+23.25%,+22.55%,32.63,36.47,6.81,1537326.33,1110273.23,+38.46%,884504.48,622200.83,+42.16%,261939.32,176262.59,+48.61%,32.63,29.28,+11.46%,174.67,163.92,+6.56%,12314836.38,12040384.92,+2.28%,10912766.9,10724603.8,+1.75%,802685.68,802685.68,0.00%,599383.8,513095.44,+16.82%,0.1868,7.7833
ALICL,Asian Life Insurance,Life Insurance,399.50,19.98 Ar,+0.38%,-0.70%,-7.52%,-13.90%,-11.75%,-21.94%,7.89,50.65,3.63,14256928.25,10062267.52,+41.69%,1801939.31,1353167.6,+33.16%,414200.48,347386.59,+19.23%,7.89,9.26,-14.83%,120.13,125.01,-3.91%,62335123.93,60602514.87,+2.86%,56026879.85,54350432.84,+3.08%,5251217.17,5001159.21,+5.00%,526725.18,717318.77,-26.57%,0.0657,8.8815
ANLB,Aatmanirbhar Laghubitta Bittiya Sanstha Limited,Microcredit,"5,023.50",3.94 Ar,-6.10%,+2.10%,-10.74%,-15.36%,-1.91%,+1555.84%,69.71,72.06,13.86,232898.68,165665.49,+40.58%,153659.59,109832.7,+39.90%,62399.54,48469.67,+28.74%,69.71,82.49,-15.49%,362.38,484.74,-25.24%,2182422.96,2085564.09,+4.64%,1858064.83,1705803.54,+8.93%,89507.2,78343.28,+14.25%,234850.93,301417.26,-22.08%,0.1924,5.7284
APHL,Appolo Hydropower Limited,Hydro Power,673.30,3.16 Ar,-0.55%,-2.28%,-19.65%,+95.39%,+95.39%,+95.39%,-4.12,-163.41,6.57,32523.39,4007.92,+711.48%,16718.81,629.57,"+2,555.60%",-19365.85,-5302.21,+265.24%,-4.12,-2.15,+91.75%,102.41,110.55,-7.36%,1570851.32,2992708.62,-47.51%,1089505.35,1172056.82,-7.04%,470000.0,329000.0,+42.86%,11345.98,34705.63,-67.31%,-0.0402,2.2635
API,Api Power,Hydro Power,326.10,19.81 Ar,-0.94%,+0.06%,-2.51%,-8.55%,+17.67%,+42.09%,15.06,21.66,2.73,1766558.36,1304385.66,+35.43%,1527791.42,1130238.0,+35.17%,960605.09,658546.63,+45.87%,15.06,13.76,+9.40%,119.51,115.32,+3.63%,15612787.44,16089667.85,-2.96%,7988559.99,8732286.61,-8.52%,6379724.2,6379724.2,0.00%,1244503.23,977657.04,+27.29%,0.126,1.0478
