Ticker,Stock Name,Sector,Today's Price,Market Cap,Daily Change (%),Weekly Change (%),Monthly Change (%),3-Month Change (%),Yearly Change (%),5-Year Change (%),EPS (Trailing),P/E Ratio,P/B Ratio,Total Revenue (Latest Quarter),Total Revenue (Previous Quarter),Total Revenue % Change,Gross Profit (Latest),Gross Profit (Previous),Gross Profit % Change,Net Profit (Latest),Net Profit (Previous),Net Profit % Change,Annualized EPS (Latest),Annualized EPS (Previous),Annualized EPS % Change,Book Value per Share (Latest),Book Value per Share (Previous),Book Value per Share % Change,Total Assets (Latest),Total Assets (Previous),Total Assets % Change,Total Liabilities (Latest),Total Liabilities (Previous),Total Liabilities % Change,Paid-up Capital (Latest),Paid-up Capital (Previous),Paid-up Capital % Change,Reserves (Latest),Reserves (Previous),Reserves % Change,ROE,D/E Ratio
ACLBSL,Aarambha Chautari Laghubitta Bittiya Sanstha Limited,Microcredit,935.00,3.43 Ar,+0.32%,+3.31%,-2.49%,-4.30%,-15.76%,-31.38%,34.02,27.48,5.22,605751.25,402624.11,+50.45%,333973.72,219201.45,+52.36%,93684.51,59784.03,+56.70%,34.02,32.57,+4.47%,179.21,169.98,+5.43%,6160957.14,6511837.26,-5.39%,5503003.4,5887759.35,-6.53%,367143.41,367143.41,0.00%,290810.33,256934.51,+13.18%,0.1898,8.3638
ACLBSLP,Aarambha Chautari Laghubitta Bittiya Sanstha Limited Promoter Share,Microcredit,512.00,0.00,0.00%,0.00%,0.00%,0.00%,-16.48%,+17.16%,34.02,27.48,5.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADBL,Agriculture Development Bank,Commercial Banks,311.00,0.00,+0.65%,+2.57%,+0.84%,-2.20%,-0.29%,-12.82%,10.71,29.03,1.35,15446740.24,10460525.85,+47.67%,6634494.24,4518161.97,+46.84%,1393973.95,707426.59,+97.05%,10.71,7.61,+40.75%,230.49,224.37,+2.73%,399787449.61,392157175.8,+1.95%,361381539.74,354627268.6,+1.90%,19738231.09,19738231.09,0.00%,18667678.78,17791676.11,+4.92%,0.0465,9.4095
ADBLD83,10.35% Agricultural Bank Debenture 2083,Bond,"1,062.20",0.00,-3.00%,-2.55%,+0.68%,+1.26%,-4.31%,+0.21%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AHL,Asian Hydropower Limited,Hydro Power,430.00,1.46 Ar,+3.86%,+2.14%,-10.21%,-22.52%,-32.88%,+30.86%,-19.31,-22.27,6.03,51964.86,51964.86,0.00%,30152.73,34893.39,-13.59%,-49240.48,-28907.89,+70.34%,-19.31,-17.0,+13.56%,71.36,77.34,-7.73%,1278625.89,1262778.81,+1.25%,1036009.49,999829.81,+3.62%,340000.0,340000.0,0.00%,-97383.6,-77051.01,+26.39%,-0.2706,4.2702
AHPC,Arun Valley Hydropower Development,Hydro Power,272.00,10.47 Ar,+3.78%,+4.02%,-1.02%,-6.82%,-5.16%,+18.09%,4.41,61.66,2.46,229118.16,173056.57,+32.39%,201121.98,152084.27,+32.24%,133685.44,100063.38,+33.60%,4.41,5.2,-15.17%,110.71,115.64,-4.26%,4773912.25,4835832.5,-1.28%,300620.02,385839.18,-22.09%,4040403.15,3848003.0,+5.00%,432889.09,601990.33,-28.09%,0.0398,0.0672
AKJCL,Ankhu Khola Jalvidhyut Company Ltd.,Hydro Power,363.00,7.26 Ar,+7.72%,+4.10%,-8.54%,-7.40%,+67.58%,+104.85%,2.56,142.03,3.93,172480.16,134444.02,+28.29%,142440.52,113009.61,+26.04%,38335.96,46271.04,-17.15%,2.56,4.63,-44.77%,92.42,92.82,-0.43%,2557504.45,2587262.89,-1.15%,709032.42,730855.78,-2.99%,2000000.0,2000000.0,0.00%,-151527.97,-143592.89,+5.53%,0.0277,0.3836
AKPL,Arun Kabeli Power Ltd.,Hydro Power,261.70,10.20 Ar,+5.10%,+3.68%,-1.65%,-7.20%,-2.71%,+8.91%,4.92,53.18,2.53,498284.73,383510.18,+29.93%,447270.46,354894.34,+26.03%,143780.05,154487.61,-6.93%,4.92,7.93,-37.95%,103.42,103.69,-0.27%,7441625.99,7393174.62,+0.66%,3412621.12,3353462.19,+1.76%,3895942.1,3895942.1,0.00%,133062.78,143770.33,-7.45%,0.0476,0.847
ALBSL,Asha Laghubitta Bittiya Sanstha Ltd,Microcredit,"1,075.00",7.88 Ar,+2.38%,+1.32%,-2.06%,-7.01%,+29.06%,+1.65%,29.28,36.72,6.56,1110273.23,717454.27,+54.75%,622200.83,387458.89,+60.58%,176262.59,125574.09,+40.37%,29.28,31.29,-6.42%,163.92,158.08,+3.70%,12040384.92,11742710.76,+2.53%,10724603.8,10473861.81,+2.39%,802685.68,802685.68,0.00%,513095.44,466163.28,+10.07%,0.1786,8.1508
ALICL,Asian Life Insurance,Life Insurance,433.70,21.69 Ar,+3.51%,+2.68%,-3.24%,-6.73%,-10.24%,-21.80%,9.26,46.83,3.79,10062267.52,6537551.0,+53.91%,1353167.6,875913.56,+54.49%,347386.59,263563.46,+31.80%,9.26,10.54,-12.13%,125.01,128.73,-2.89%,60602514.87,59127423.13,+2.49%,54350432.84,52689268.12,+3.15%,5001159.21,5001159.21,0.00%,717318.77,919096.03,-21.95%,0.0741,8.6932
