Ticker,Stock Name,Sector,Today's Price,Market Cap,Daily Change (%),Weekly Change (%),Monthly Change (%),3-Month Change (%),Yearly Change (%),5-Year Change (%),EPS (Trailing),P/E Ratio,P/B Ratio,Total Revenue (Latest Quarter),Total Revenue (Previous Quarter),Total Revenue % Change,Gross Profit (Latest),Gross Profit (Previous),Gross Profit % Change,Net Profit (Latest),Net Profit (Previous),Net Profit % Change,Annualized EPS (Latest),Annualized EPS (Previous),Annualized EPS % Change,Book Value per Share (Latest),Book Value per Share (Previous),Book Value per Share % Change,Total Assets (Latest),Total Assets (Previous),Total Assets % Change,Total Liabilities (Latest),Total Liabilities (Previous),Total Liabilities % Change,Paid-up Capital (Latest),Paid-up Capital (Previous),Paid-up Capital % Change,Reserves (Latest),Reserves (Previous),Reserves % Change,ROE,D/E Ratio
ACLBSL,Aarambha Chautari Laghubitta Bittiya Sanstha Limited,Microcredit,950.00,3.49 Ar,0.00%,+0.95%,-2.06%,-3.75%,-9.00%,-29.50%,32.57,29.17,5.59,402624.11,203534.78,+97.82%,219201.45,111339.65,+96.88%,59784.03,8206.54,+628.49%,32.57,8.94,+264.24%,169.98,157.43,+7.97%,6511837.26,6328553.46,+2.90%,5887759.35,5750551.33,+2.39%,367143.41,367143.41,0.00%,256934.51,210858.72,+21.85%,0.1916,9.4343
ADBL,Agriculture Development Bank,Commercial Banks,310.00,42.95 Ar,+0.65%,-0.48%,0.00%,+4.05%,+14.36%,+4.67%,10.71,28.93,1.34,15446740.24,10460525.85,+47.67%,6634494.24,4518161.97,+46.84%,1393973.95,707426.59,+97.05%,10.71,7.61,+40.75%,230.49,224.37,+2.73%,399787449.61,392157175.8,+1.95%,361381539.74,354627268.6,+1.90%,19738231.09,19738231.09,0.00%,18667678.78,17791676.11,+4.92%,0.0465,9.4095
AHL,Asian Hydropower Limited,Hydro Power,524.00,1.78 Ar,+2.75%,-4.49%,+5.15%,-12.89%,-26.53%,+55.20%,-17.0,-30.82,6.78,51964.86,51964.86,0.00%,34893.39,45331.81,-23.03%,-28907.89,14721.88,-296.36%,-17.0,17.32,-198.18%,77.34,90.26,-14.31%,1262778.81,1307582.69,-3.43%,999829.81,1000707.54,-0.09%,340000.0,340000.0,0.00%,-77051.01,-33124.85,+132.61%,-0.2198,3.8024
AHPC,Arun Valley Hydropower Development,Hydro Power,280.20,10.78 Ar,+1.93%,-0.76%,-3.54%,-0.18%,-4.57%,+68.39%,5.2,53.88,2.42,173056.57,87502.71,+97.77%,152084.27,76673.0,+98.35%,100063.38,45323.28,+120.78%,5.2,4.71,+10.39%,115.64,113.05,+2.29%,4835832.5,4741439.13,+1.99%,385839.18,391146.18,-1.36%,3848003.0,3848003.0,0.00%,601990.33,502289.95,+19.85%,0.045,0.0867
AKJCL,Ankhu Khola Jalvidhyut Company Ltd.,Hydro Power,365.90,7.32 Ar,+5.48%,-7.49%,-11.05%,-4.44%,+60.64%,+174.45%,2.56,143.17,3.96,172480.16,134444.02,+28.29%,142440.52,113009.61,+26.04%,38335.96,46271.04,-17.15%,2.56,4.63,-44.77%,92.42,92.82,-0.43%,2557504.45,2587262.89,-1.15%,709032.42,730855.78,-2.99%,2000000.0,2000000.0,0.00%,-151527.97,-143592.89,+5.53%,0.0277,0.3836
AKPL,Arun Kabeli Power Ltd.,Hydro Power,268.80,10.47 Ar,+2.17%,-1.76%,-2.56%,-2.19%,+0.19%,+44.13%,7.93,33.89,2.59,383510.18,194287.27,+97.39%,354894.34,182040.45,+94.95%,154487.61,58006.07,+166.33%,7.93,5.96,+33.17%,103.69,101.21,+2.45%,7393174.62,6437912.54,+14.84%,3353462.19,2494681.65,+34.42%,3895942.1,3895942.1,0.00%,143770.33,47288.8,+204.03%,0.0765,0.8301
ALBSL,Asha Laghubitta Bittiya Sanstha Ltd,Microcredit,"1,110.00",8.14 Ar,+0.36%,-0.81%,-5.55%,-4.49%,+46.36%,+11.97%,29.28,37.91,6.77,1110273.23,717454.27,+54.75%,622200.83,387458.89,+60.58%,176262.59,125574.09,+40.37%,29.28,31.29,-6.42%,163.92,158.08,+3.70%,12040384.92,11742710.76,+2.53%,10724603.8,10473861.81,+2.39%,802685.68,802685.68,0.00%,513095.44,466163.28,+10.07%,0.1786,8.1508
ALICL,Asian Life Insurance,Life Insurance,453.00,22.66 Ar,+0.49%,+0.07%,-1.79%,-0.18%,-8.13%,-9.33%,10.54,42.98,3.83,6537551.0,3237067.54,+101.96%,875913.56,524011.03,+67.16%,263563.46,152513.04,+72.81%,10.54,12.64,-16.59%,128.73,130.12,-1.07%,59127423.13,57460842.1,+2.90%,52689268.12,51178897.36,+2.95%,5001159.21,4827767.56,+3.59%,919096.03,941421.71,-2.37%,0.0819,8.1839
ANLB,Aatmanirbhar Laghubitta Bittiya Sanstha Limited,Microcredit,"6,050.00",4.74 Ar,+2.20%,-5.81%,+4.45%,+11.97%,+27.65%,+1851.31%,82.49,73.34,12.48,165665.49,109231.14,+51.67%,109832.7,71846.97,+52.87%,48469.67,30514.63,+58.84%,82.49,77.9,+5.89%,484.74,428.75,+13.06%,2085564.09,1902697.33,+9.61%,1705803.54,1566800.96,+8.87%,78343.28,78343.28,0.00%,301417.26,257553.08,+17.03%,0.1702,4.4918
API,Api Power,Hydro Power,337.00,20.48 Ar,+1.41%,-0.78%,-2.69%,+10.07%,+12.21%,+111.90%,14.03,24.02,2.87,959243.24,538459.21,+78.15%,840391.87,479201.77,+75.37%,426221.66,262755.15,+62.21%,14.03,17.3,-18.89%,117.58,114.74,+2.48%,14485098.82,14501043.26,-0.11%,7340803.63,7529330.42,-2.50%,6075927.81,6075927.81,0.00%,1068367.39,895785.04,+19.27%,0.1193,1.0275
AVYAN,Aviyan Laghubitta Bittiya Sanstha Limited,Microcredit,"1,123.00",2.81 Ar,+0.46%,+1.63%,+1.63%,+15.72%,+9.59%,+221.61%,52.53,21.38,7.11,383655.61,266507.46,+43.96%,226058.78,156871.86,+44.10%,98498.19,77360.06,+27.32%,52.53,61.89,-15.12%,157.84,149.39,+5.66%,3669983.76,3632445.01,+1.03%,3275378.55,3258967.45,+0.50%,250000.0,250000.0,0.00%,144605.21,123477.56,+17.11%,0.3328,8.3004
BANDIPUR,Bandipur Cablecar and Tourism Limited,Hotels,832.00,23.55 Ar,+3.61%,-2.63%,-4.22%,-23.89%,+156.14%,+156.14%,-0.77,-1085.89,9.05,16608.07,44216.88,-62.44%,2521.87,14056.79,-82.06%,-16262.39,-25431.28,-36.05%,-0.77,-1.8,-57.37%,91.9,92.47,-0.62%,3886144.71,3921311.34,-0.90%,1285457.62,1304361.87,-1.45%,2829993.0,2829993.0,0.00%,-229305.91,-213043.53,+7.63%,-0.0084,0.4943
BARUN,Barun Hydropower,Hydro Power,341.90,3.66 Ar,+1.76%,-1.18%,-4.82%,-8.62%,+9.78%,+149.35%,4.05,84.44,3.01,62624.05,39473.75,+58.65%,54218.74,33306.25,+62.79%,21696.03,18990.58,+14.25%,4.05,7.25,-44.15%,113.42,109.04,+4.02%,1503640.6,1440609.4,+4.38%,288163.95,298072.51,-3.32%,1071630.0,1047786.7,+2.28%,143846.65,94750.19,+51.82%,0.0357,0.2371
