Ticker,Stock Name,Sector,Today's Price,Market Cap,Daily Change (%),Weekly Change (%),Monthly Change (%),3-Month Change (%),Yearly Change (%),5-Year Change (%),EPS (Trailing),P/E Ratio,P/B Ratio,Total Revenue (Latest Quarter),Total Revenue (Previous Quarter),Total Revenue % Change,Gross Profit (Latest),Gross Profit (Previous),Gross Profit % Change,Net Profit (Latest),Net Profit (Previous),Net Profit % Change,Annualized EPS (Latest),Annualized EPS (Previous),Annualized EPS % Change,Book Value per Share (Latest),Book Value per Share (Previous),Book Value per Share % Change,Total Assets (Latest),Total Assets (Previous),Total Assets % Change,Total Liabilities (Latest),Total Liabilities (Previous),Total Liabilities % Change,Paid-up Capital (Latest),Paid-up Capital (Previous),Paid-up Capital % Change,Reserves (Latest),Reserves (Previous),Reserves % Change,ROE,D/E Ratio
ACLBSL,Aarambha Chautari Laghubitta Bittiya Sanstha Limited,Microcredit,937.00,3.44 Ar,-0.64%,+2.50%,+3.75%,-1.15%,-15.27%,-33.25%,27.79,33.72,5.18,819953.84,605751.25,+35.36%,474512.62,333973.72,+42.08%,102017.98,93684.51,+8.90%,27.79,34.02,-18.33%,180.9,179.21,+0.95%,5950772.97,6160957.14,-3.41%,5286596.48,5503003.4,-3.93%,367143.41,367143.41,0.00%,297033.08,290810.33,+2.14%,0.1536,7.9596
ADBL,Agriculture Development Bank,Commercial Banks,304.00,42.12 Ar,-0.26%,-1.30%,+0.76%,-1.90%,-1.95%,-26.93%,16.11,18.87,1.3,20974502.04,15446740.24,+35.79%,9121508.26,6634494.24,+37.49%,2630641.84,1393973.95,+88.72%,16.11,10.71,+50.37%,233.99,230.49,+1.52%,420134125.1,399787449.61,+5.09%,381227797.3,361381539.74,+5.49%,19738231.09,19738231.09,0.00%,19168096.67,18667678.78,+2.68%,0.0688,9.7986
ADBLB87,Agricultural Bond (9 Year),Bond,"1,016.00",0.00,0.00%,NaN%,NaN%,NaN%,NaN%,NaN%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADBLD83,10.35% Agricultural Bank Debenture 2083,Bond,"1,015.00",0.00,-0.98%,+0.14%,-4.74%,-4.21%,-6.82%,-3.76%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AHL,,,420.50,1.43 Ar,+1.82%,-0.02%,+0.49%,-27.03%,-34.85%,+25.68%,-17.41,-24.16,6.14,81461.84,51964.86,+56.76%,60172.5,30152.73,+99.56%,-59183.63,-49240.48,+20.19%,-17.41,-19.31,-9.86%,68.43,71.36,-4.10%,1351716.06,1278625.89,+5.72%,1119042.8,1036009.49,+8.01%,340000.0,340000.0,0.00%,-107326.74,-97383.6,+10.21%,-0.2544,4.8095
AHPC,Arun Valley Hydropower Development,Hydro Power,264.89,10.19 Ar,-0.38%,-0.78%,+1.88%,-4.70%,-5.11%,-3.55%,3.41,77.62,2.41,287047.96,229118.16,+25.28%,240411.7,201121.98,+19.54%,137892.44,133685.44,+3.15%,3.41,4.41,-22.64%,109.71,110.71,-0.91%,4720989.53,4773912.25,-1.11%,288450.57,300620.02,-4.05%,4040403.15,4040403.15,0.00%,392135.81,432889.09,-9.41%,0.0311,0.0651
AKJCL,Ankhu Khola Jalvidhyut Company Ltd.,Hydro Power,360.00,7.20 Ar,-0.83%,-2.94%,+5.83%,+2.25%,+75.70%,+66.51%,3.18,113.22,3.84,224292.68,172480.16,+30.04%,188284.16,142440.52,+32.18%,63595.21,38335.96,+65.89%,3.18,2.56,+24.42%,93.69,92.42,+1.37%,2558235.75,2557504.45,+0.03%,684504.47,709032.42,-3.46%,2000000.0,2000000.0,0.00%,-126268.72,-151527.97,-16.67%,0.0339,0.3653
AKPL,,,253.20,9.86 Ar,-1.06%,-0.81%,+3.19%,-4.87%,-3.30%,-15.78%,2.05,123.8,2.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALBSL,Asha Laghubitta Bittiya Sanstha Ltd,Microcredit,"1,122.90",8.23 Ar,-0.19%,+3.69%,+8.07%,+1.59%,+24.63%,+2.85%,32.63,34.41,6.43,1537326.33,1110273.23,+38.46%,884504.48,622200.83,+42.16%,261939.32,176262.59,+48.61%,32.63,29.28,+11.46%,174.67,163.92,+6.56%,12314836.38,12040384.92,+2.28%,10912766.9,10724603.8,+1.75%,802685.68,802685.68,0.00%,599383.8,513095.44,+16.82%,0.1868,7.7833
ALICL,Asian Life Insurance,Life Insurance,420.00,21.00 Ar,+0.24%,-1.37%,+0.24%,-8.09%,-9.32%,-23.41%,7.89,53.25,3.82,14256928.25,10062267.52,+41.69%,1801939.31,1353167.6,+33.16%,414200.48,347386.59,+19.23%,7.89,9.26,-14.83%,120.13,125.01,-3.91%,62335123.93,60602514.87,+2.86%,56026879.85,54350432.84,+3.08%,5251217.17,5001159.21,+5.00%,526725.18,717318.77,-26.57%,0.0657,8.8815
ANLB,Aatmanirbhar Laghubitta Bittiya Sanstha Limited,Microcredit,"5,320.00",4.17 Ar,-1.48%,-2.24%,-19.84%,-10.74%,+6.89%,+1679.94%,69.71,76.31,14.68,232898.68,165665.49,+40.58%,153659.59,109832.7,+39.90%,62399.54,48469.67,+28.74%,69.71,82.49,-15.49%,362.38,484.74,-25.24%,2182422.96,2085564.09,+4.64%,1858064.83,1705803.54,+8.93%,89507.2,78343.28,+14.25%,234850.93,301417.26,-22.08%,0.1924,5.7284
APHL,Appolo Hydropower Limited,Hydro Power,805.00,3.78 Ar,-0.62%,-2.17%,-4.69%,+135.06%,+135.06%,+135.06%,-4.12,-195.37,7.86,32523.39,4007.92,+711.48%,16718.81,629.57,"+2,555.60%",-19365.85,-5302.21,+265.24%,-4.12,-2.15,+91.75%,102.41,110.55,-7.36%,1570851.32,2992708.62,-47.51%,1089505.35,1172056.82,-7.04%,470000.0,329000.0,+42.86%,11345.98,34705.63,-67.31%,-0.0402,2.2635
API,Api Power,Hydro Power,332.90,20.23 Ar,+0.39%,-0.09%,+2.98%,-3.55%,+16.95%,+19.83%,15.06,22.11,2.79,1766558.36,1304385.66,+35.43%,1527791.42,1130238.0,+35.17%,960605.09,658546.63,+45.87%,15.06,13.76,+9.40%,119.51,115.32,+3.63%,15612787.44,16089667.85,-2.96%,7988559.99,8732286.61,-8.52%,6379724.2,6379724.2,0.00%,1244503.23,977657.04,+27.29%,0.126,1.0478
AVYAN,Aviyan Laghubitta Bittiya Sanstha Limited,Microcredit,"1,075.00",2.69 Ar,-1.29%,+4.51%,+6.45%,-1.45%,+1.07%,+213.29%,57.04,18.85,6.77,518436.39,383655.61,+35.13%,311683.51,226058.78,+37.88%,142608.42,98498.19,+44.78%,57.04,52.53,+8.59%,158.75,157.84,+0.58%,3710635.02,3669983.76,+1.11%,3313759.69,3275378.55,+1.17%,250000.0,250000.0,0.00%,146875.33,144605.21,+1.57%,0.3593,8.3496
BANDIPUR,Bandipur Cablecar and Tourism Limited,Hotels,693.50,19.63 Ar,+1.17%,-1.65%,+3.08%,-14.74%,+118.66%,+118.66%,-1.96,-354.61,7.59,83771.74,60824.94,+37.73%,19737.47,16578.66,+19.05%,-55344.65,-41693.66,+32.74%,-1.96,-1.96,-0.45%,91.41,91.9,-0.52%,3880296.55,3886144.71,-0.15%,1293260.46,1285457.62,+0.61%,2829993.0,2829993.0,0.00%,-242956.9,-229305.91,+5.95%,-0.0214,0.4999
BARUN,Barun Hydropower,Hydro Power,320.00,3.43 Ar,-0.93%,+0.09%,+4.63%,-6.35%,-10.50%,+41.81%,2.08,153.72,2.96,109238.01,75366.95,+44.94%,90330.63,64651.07,+39.72%,23367.22,16953.84,+37.83%,2.08,2.01,+3.37%,108.19,107.72,+0.44%,1490067.88,1492110.72,-0.14%,275626.38,282969.3,-2.59%,1122532.43,1122532.43,0.00%,91909.07,86608.99,+6.12%,0.0192,0.227
BBC,Bishal Bazar,Trading,"4,080.00",163.61 Ar,-2.86%,-1.82%,+3.19%,-12.50%,-21.86%,-38.04%,3.67,1110.23,31.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEDC,Bhugol Energy Development Company Limited,Hydro Power,319.39,1.74 Ar,+0.12%,-0.93%,+2.87%,-11.44%,-56.29%,+43.05%,-1.7,-188.32,6.9,62444.81,49435.88,+26.31%,57689.31,43175.89,+33.61%,-9227.59,-508.41,"+1,714.99%",-1.7,-0.12,"+1,261.24%",46.28,47.88,-3.35%,816359.85,839538.46,-2.76%,564567.99,579027.43,-2.50%,544053.4,544053.4,0.00%,-292261.54,-283542.36,+3.08%,-0.0367,2.2422
BFC,,,485.00,4.32 Ar,-1.82%,-1.59%,-2.76%,+7.79%,-3.37%,-9.19%,8.8,55.12,4.3,,,,,,,,,+236.02%,8.8,3.93,+124.02%,112.72,107.3,+5.06%,7451218.29,7303826.25,+2.02%,6447509.81,6348434.2,+1.56%,890424.24,890424.24,0.00%,113284.24,64967.81,+74.37%,0.0781,6.4237
BGWT,Bhagawati Hydropower Development Company Limited,Hydro Power,514.10,3.06 Ar,-3.00%,-4.85%,+1.92%,-20.78%,-32.53%,+64.29%,9.01,57.08,4.54,154099.6,129217.98,+19.26%,129160.12,111273.45,+16.07%,61090.05,56770.3,+7.61%,9.01,11.16,-19.29%,113.3,112.67,+0.57%,985754.79,984465.12,+0.13%,217276.59,220306.68,-1.38%,678239.9,678239.9,0.00%,90238.3,85918.54,+5.03%,0.0795,0.2827
BHCL,Bikash Hydropower Company Limited,Hydro Power,522.10,4.75 Ar,+6.86%,-1.09%,+6.91%,-3.99%,+52.07%,+52.07%,10.81,48.3,4.64,190898.91,138139.74,+38.19%,176672.42,129024.14,+36.93%,98272.48,71083.1,+38.25%,10.81,10.43,+3.69%,112.53,109.64,+2.64%,1191612.62,1286599.94,-7.38%,168574.96,289902.24,-41.85%,909101.3,909101.3,0.00%,113936.36,87596.4,+30.07%,0.0961,0.1648
BHDC,Bindhyabasini Hydropower Development Company Limited,Hydro Power,428.00,4.84 Ar,-0.70%,+0.35%,+1.41%,-6.95%,-22.66%,+41.58%,11.79,36.31,3.62,455635.11,353104.81,+29.04%,444964.27,344876.58,+29.02%,139841.02,117655.74,+18.86%,11.79,13.22,-10.86%,118.32,117.43,+0.75%,3193230.87,2916602.47,+9.48%,1789666.98,1523491.11,+17.47%,1186290.0,1186290.0,0.00%,217273.89,206821.36,+5.05%,0.0996,1.2751
BHL,Balephi Hydropower Limited,Hydro Power,211.00,7.71 Ar,-0.47%,+0.95%,+5.47%,-4.72%,+4.77%,+101.04%,8.59,24.55,2.64,878539.64,637244.6,+37.87%,806182.45,582183.75,+38.48%,235658.82,228148.23,+3.29%,8.59,12.48,-31.14%,79.95,80.85,-1.12%,8669860.0,8682443.29,-0.14%,5746986.68,5726577.62,+0.36%,3655940.0,3655940.0,0.00%,-733066.68,-700074.34,+4.71%,0.1074,1.9662
BHPL,Barahi Hydropower Public Limited,Hydro Power,489.90,1.22 Ar,-0.02%,-1.80%,+4.81%,-6.13%,-37.21%,+129.29%,-0.59,-836.55,9.79,23794.39,20646.36,+15.25%,22135.8,20170.33,+9.74%,-1098.03,2329.91,-147.13%,-0.59,1.86,-131.42%,50.03,51.12,-2.15%,371443.0,368206.23,+0.88%,246373.46,240394.61,+2.49%,250000.0,250000.0,0.00%,-124930.46,-122188.38,+2.24%,-0.0118,1.9699
BJHL,Bhujung Hydropower Limited,Hydro Power,696.00,6.96 Ar,+1.31%,-2.41%,+4.57%,-28.44%,+131.24%,+131.24%,-2.6,-267.77,7.82,170084.2,124093.86,+37.06%,131337.17,103377.24,+27.05%,-25992.36,-24428.84,+6.40%,-2.6,-3.26,-20.20%,88.95,88.82,+0.15%,1822133.29,1825403.01,-0.18%,932638.65,937231.49,-0.49%,1000000.0,1000000.0,0.00%,-110505.37,-111828.48,-1.18%,-0.0292,1.0485
BNHC,Buddha Bhumi Nepal Hydropower Company Limited,Hydro Power,282.89,1.13 Ar,-1.09%,-1.72%,+4.00%,-12.00%,-8.65%,+58.14%,1.49,189.73,2.82,185017.46,146421.73,+26.36%,172928.8,139149.85,+24.28%,11953.74,23342.85,-48.79%,1.49,7.53,-80.20%,100.38,81.58,+23.04%,1587996.25,1328961.06,+19.49%,783246.82,991779.96,-21.03%,801690.4,413304.4,+93.97%,3059.04,-76123.33,-104.02%,0.0148,0.9733
