Ticker,Stock Name,Sector,Today's Price,Market Cap,Daily Change (%),Weekly Change (%),Monthly Change (%),3-Month Change (%),Yearly Change (%),5-Year Change (%),EPS (Trailing),P/E Ratio,P/B Ratio,Total Revenue (Latest Quarter),Total Revenue (Previous Quarter),Total Revenue % Change,Gross Profit (Latest),Gross Profit (Previous),Gross Profit % Change,Net Profit (Latest),Net Profit (Previous),Net Profit % Change,Annualized EPS (Latest),Annualized EPS (Previous),Annualized EPS % Change,Book Value per Share (Latest),Book Value per Share (Previous),Book Value per Share % Change,Total Assets (Latest),Total Assets (Previous),Total Assets % Change,Total Liabilities (Latest),Total Liabilities (Previous),Total Liabilities % Change,Paid-up Capital (Latest),Paid-up Capital (Previous),Paid-up Capital % Change,Reserves (Latest),Reserves (Previous),Reserves % Change
BANDIPUR,Bandipur Cablecar and Tourism Limited,Hotels,"1,037.00",29.35 Ar,-3.98%,-3.80%,+33.24%,+230.78%,+230.78%,+230.78%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BARUN,Barun Hydropower,Hydro Power,365.00,3.91 Ar,-1.62%,-2.67%,+16.28%,+15.07%,+36.89%,+189.31%,7.25,50.35,3.35,"39,473.75","97,021.47",-59.31%,"33,306.25","81,251.99",-59.01%,"18,990.58","19,855.21",-4.35%,7.25,3.71,+95.64%,109.04,115.74,-5.78%,"14,40,609.40","9,48,224.00",+51.93%,"2,98,072.51","3,28,090.43",-9.15%,"10,47,786.70","5,35,815.00",+95.55%,"94,750.19","84,318.57",+12.37%
BBC,Bishal Bazar,Trading,"4,879.00",195.65 Ar,+0.62%,+0.01%,+1.25%,-0.37%,-14.99%,+54.38%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEDC,Bhugol Energy Development Company Limited,Hydro Power,552.90,3.01 Ar,+0.53%,+3.15%,+2.58%,-5.33%,-38.10%,+147.94%,7.64,72.35,11.04,"30,713.00","53,774.31",-42.89%,"28,222.11","42,931.39",-34.26%,"10,394.84","-29,987.20",-134.66%,7.64,-5.51,-238.66%,50.07,48.16,+3.97%,"8,63,446.33","8,57,983.59",+0.64%,"5,91,057.86","5,95,989.95",-0.83%,"5,44,053.40","5,44,053.40",0.00%,"-2,71,664.93","-2,82,059.76",-3.69%
BFC,Best Finance,Finance,485.00,4.32 Ar,+0.21%,-5.46%,+6.31%,+2.86%,-21.52%,+185.29%,3.93,123.49,4.52,"2,53,264.33","1,27,848.98",+98.10%,"71,208.90","32,206.09",+121.10%,"17,485.62","-54,717.77",-131.96%,3.93,-24.58,-115.98%,107.30,118.55,-9.49%,"73,03,826.25","73,94,627.70",-1.23%,"63,48,434.20","63,39,040.54",+0.15%,"8,90,424.24","8,90,424.24",0.00%,"64,967.81","1,65,162.92",-60.66%
BGWT,Bhagawati Hydropower Development Company Limited,Hydro Power,774.00,4.60 Ar,-2.40%,-2.27%,+1.18%,-2.03%,-23.97%,+139.92%,10.80,71.65,6.07,"39,258.69","1,56,647.91",-74.94%,"33,715.24","1,33,288.71",-74.71%,"16,066.88","66,197.89",-75.73%,10.80,11.13,-2.92%,127.60,120.38,+6.00%,"9,79,698.24","8,84,176.08",+10.80%,"2,20,546.37","1,68,007.84",+31.27%,"5,94,947.30","5,94,947.30",0.00%,"1,64,204.56","1,21,220.94",+35.46%
BHCL,Bikash Hydropower Company Limited,Hydro Power,604.00,5.49 Ar,-2.27%,+1.34%,+21.43%,+36.96%,+87.99%,+87.99%,7.81,77.32,5.82,"41,572.31","1,52,562.36",-72.75%,"38,188.74","1,38,099.59",-72.35%,"17,754.48","39,765.74",-55.35%,7.81,4.37,+78.59%,103.77,0.00,0.00%,"12,41,080.55",0.00,0.00%,"2,97,711.47","4,97,230.24",-40.13%,"9,09,101.30","9,09,101.30",0.00%,"34,267.78",0.00,0.00%
BHDC,Bindhyabasini Hydropower Development Company Limited,Hydro Power,477.00,5.39 Ar,-0.83%,-4.22%,+4.86%,-6.14%,-32.28%,+56.70%,30.87,15.45,4.08,"1,66,446.01","3,88,379.35",-57.14%,"1,62,724.31","3,79,000.23",-57.06%,"87,182.43","60,389.43",+44.37%,30.87,5.35,+477.47%,116.88,109.37,+6.87%,"29,29,609.05","28,75,341.71",+1.89%,"16,09,687.05","16,39,662.76",-1.83%,"11,29,800.00","11,29,800.00",0.00%,"1,90,756.32","1,05,878.95",+80.16%
BHL,Balephi Hydropower Limited,Hydro Power,206.00,7.53 Ar,-0.72%,-0.72%,+16.32%,+10.16%,-47.18%,+95.35%,13.62,15.13,2.64,"3,47,858.38","8,29,066.21",-58.04%,"3,23,991.09","6,00,420.96",-46.04%,"1,24,475.36","-3,93,999.49",-131.59%,13.62,-10.78,-226.37%,78.02,74.61,+4.56%,"86,57,035.48","86,55,661.86",+0.02%,"58,04,842.69","59,27,944.43",-2.08%,"36,55,940.00","36,55,940.00",0.00%,"-8,03,747.21","-9,28,222.57",-13.41%
BHPL,Barahi Hydropower Public Limited,Hydro Power,576.00,1.44 Ar,-3.19%,+1.43%,+11.63%,-17.24%,-43.97%,+169.54%,9.48,60.73,10.93,"14,637.93","29,524.03",-50.42%,"13,347.37","27,104.83",-50.76%,"5,927.83","-4,682.09",-226.61%,9.48,-1.87,-606.43%,52.70,52.69,+0.01%,"3,77,493.29","3,66,246.33",+3.07%,"2,45,740.82","2,34,511.83",+4.79%,"2,50,000.00","2,50,000.00",0.00%,"-1,18,247.53","-1,18,265.50",-0.02%
