Ticker,Stock Name,Sector,Today's Price,Market Cap,Daily Change (%),Weekly Change (%),Monthly Change (%),3-Month Change (%),Yearly Change (%),5-Year Change (%),EPS (Trailing),P/E Ratio,P/B Ratio,Total Revenue (Latest Quarter),Total Revenue (Previous Quarter),Total Revenue % Change,Gross Profit (Latest),Gross Profit (Previous),Gross Profit % Change,Net Profit (Latest),Net Profit (Previous),Net Profit % Change,Annualized EPS (Latest),Annualized EPS (Previous),Annualized EPS % Change,Book Value per Share (Latest),Book Value per Share (Previous),Book Value per Share % Change,Total Assets (Latest),Total Assets (Previous),Total Assets % Change,Total Liabilities (Latest),Total Liabilities (Previous),Total Liabilities % Change,Paid-up Capital (Latest),Paid-up Capital (Previous),Paid-up Capital % Change,Reserves (Latest),Reserves (Previous),Reserves % Change,ROE,D/E Ratio
ACLBSL,Aarambha Chautari Laghubitta Bittiya Sanstha Limited,Microcredit,941.10,3.46 Ar,-0.02%,-2.47%,-7.74%,-0.94%,-6.83%,-29.86%,32.57,28.9,5.54,402624.11,203534.78,+97.82%,219201.45,111339.65,+96.88%,59784.03,8206.54,+628.49%,32.57,8.94,+264.24%,169.98,157.43,+7.97%,6511837.26,6328553.46,+2.90%,5887759.35,5750551.33,+2.39%,367143.41,367143.41,0.00%,256934.51,210858.72,+21.85%,0.1916,9.4343
ADBL,Agriculture Development Bank,Commercial Banks,309.50,42.88 Ar,+0.26%,-0.80%,-2.06%,+3.82%,+17.25%,+3.94%,10.71,28.89,1.34,15446740.24,10460525.85,+47.67%,6634494.24,4518161.97,+46.84%,1393973.95,707426.59,+97.05%,10.71,7.61,+40.75%,230.49,224.37,+2.73%,399787449.61,392157175.8,+1.95%,361381539.74,354627268.6,+1.90%,19738231.09,19738231.09,0.00%,18667678.78,17791676.11,+4.92%,0.0465,9.4095
ADBLD83,10.35% Agricultural Bank Debenture 2083,Bond,"1,070.00",0.00,+0.86%,+0.86%,-1.46%,+1.84%,-1.03%,+1.42%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AHL,Asian Hydropower Limited,Hydro Power,534.00,1.82 Ar,+7.88%,+2.30%,+6.14%,-6.77%,-23.03%,+62.51%,-17.0,-31.4,6.9,51964.86,51964.86,0.00%,34893.39,45331.81,-23.03%,-28907.89,14721.88,-296.36%,-17.0,17.32,-198.18%,77.34,90.26,-14.31%,1262778.81,1307582.69,-3.43%,999829.81,1000707.54,-0.09%,340000.0,340000.0,0.00%,-77051.01,-33124.85,+132.61%,-0.2198,3.8024
AHPC,Arun Valley Hydropower Development,Hydro Power,277.00,10.66 Ar,-0.25%,-1.04%,-6.42%,+2.52%,-2.66%,+69.27%,5.2,53.26,2.4,173056.57,87502.71,+97.77%,152084.27,76673.0,+98.35%,100063.38,45323.28,+120.78%,5.2,4.71,+10.39%,115.64,113.05,+2.29%,4835832.5,4741439.13,+1.99%,385839.18,391146.18,-1.36%,3848003.0,3848003.0,0.00%,601990.33,502289.95,+19.85%,0.045,0.0867
AKJCL,Ankhu Khola Jalvidhyut Company Ltd.,Hydro Power,375.00,7.50 Ar,+0.27%,-4.58%,-5.30%,+14.89%,+78.39%,+207.38%,2.56,146.73,4.06,172480.16,134444.02,+28.29%,142440.52,113009.61,+26.04%,38335.96,46271.04,-17.15%,2.56,4.63,-44.77%,92.42,92.82,-0.43%,2557504.45,2587262.89,-1.15%,709032.42,730855.78,-2.99%,2000000.0,2000000.0,0.00%,-151527.97,-143592.89,+5.53%,0.0277,0.3836
AKPL,Arun Kabeli Power Ltd.,Hydro Power,267.80,10.43 Ar,+0.22%,-0.07%,-5.57%,+0.37%,+8.58%,+46.70%,7.93,33.77,2.58,383510.18,194287.27,+97.39%,354894.34,182040.45,+94.95%,154487.61,58006.07,+166.33%,7.93,5.96,+33.17%,103.69,101.21,+2.45%,7393174.62,6437912.54,+14.84%,3353462.19,2494681.65,+34.42%,3895942.1,3895942.1,0.00%,143770.33,47288.8,+204.03%,0.0765,0.8301
ALBSL,Asha Laghubitta Bittiya Sanstha Ltd,Microcredit,"1,115.00",8.17 Ar,+0.45%,-2.01%,-8.07%,-1.06%,+54.93%,+9.54%,29.28,38.08,6.8,1110273.23,717454.27,+54.75%,622200.83,387458.89,+60.58%,176262.59,125574.09,+40.37%,29.28,31.29,-6.42%,163.92,158.08,+3.70%,12040384.92,11742710.76,+2.53%,10724603.8,10473861.81,+2.39%,802685.68,802685.68,0.00%,513095.44,466163.28,+10.07%,0.1786,8.1508
ALICL,Asian Life Insurance,Life Insurance,450.50,22.53 Ar,-0.75%,-1.64%,-3.33%,+1.20%,-6.66%,-12.04%,10.54,42.74,3.81,6537551.0,3237067.54,+101.96%,875913.56,524011.03,+67.16%,263563.46,152513.04,+72.81%,10.54,12.64,-16.59%,128.73,130.12,-1.07%,59127423.13,57460842.1,+2.90%,52689268.12,51178897.36,+2.95%,5001159.21,4827767.56,+3.59%,919096.03,941421.71,-2.37%,0.0819,8.1839
ANLB,Aatmanirbhar Laghubitta Bittiya Sanstha Limited,Microcredit,"6,285.00",4.92 Ar,+0.16%,+0.79%,+10.38%,+19.65%,+34.06%,+1971.66%,82.49,76.19,12.97,165665.49,109231.14,+51.67%,109832.7,71846.97,+52.87%,48469.67,30514.63,+58.84%,82.49,77.9,+5.89%,484.74,428.75,+13.06%,2085564.09,1902697.33,+9.61%,1705803.54,1566800.96,+8.87%,78343.28,78343.28,0.00%,301417.26,257553.08,+17.03%,0.1702,4.4918
