Ticker,Stock Name,Sector,Today's Price,Market Cap,Daily Change (%),Weekly Change (%),Monthly Change (%),3-Month Change (%),Yearly Change (%),5-Year Change (%),EPS (Trailing),P/E Ratio,P/B Ratio,Total Revenue (Latest Quarter),Total Revenue (Previous Quarter),Total Revenue % Change,Gross Profit (Latest),Gross Profit (Previous),Gross Profit % Change,Net Profit (Latest),Net Profit (Previous),Net Profit % Change,Annualized EPS (Latest),Annualized EPS (Previous),Annualized EPS % Change,Book Value per Share (Latest),Book Value per Share (Previous),Book Value per Share % Change,Total Assets (Latest),Total Assets (Previous),Total Assets % Change,Total Liabilities (Latest),Total Liabilities (Previous),Total Liabilities % Change,Paid-up Capital (Latest),Paid-up Capital (Previous),Paid-up Capital % Change,Reserves (Latest),Reserves (Previous),Reserves % Change,ROE,D/E Ratio
ACLBSL,Aarambha Chautari Laghubitta Bittiya Sanstha Limited,Microcredit,905.00,3.32 Ar,-1.63%,-2.16%,-5.63%,-9.32%,-17.16%,-31.05%,34.02,26.6,5.05,605751.25,402624.11,+50.45%,333973.72,219201.45,+52.36%,93684.51,59784.03,+56.70%,34.02,32.57,+4.47%,179.21,169.98,+5.43%,6160957.14,6511837.26,-5.39%,5503003.4,5887759.35,-6.53%,367143.41,367143.41,0.00%,290810.33,256934.51,+13.18%,0.1898,8.3638
ADBL,Agriculture Development Bank,Commercial Banks,303.20,42.01 Ar,-0.26%,-1.24%,-1.88%,-4.20%,+2.43%,-11.53%,10.71,28.3,1.32,15446740.24,10460525.85,+47.67%,6634494.24,4518161.97,+46.84%,1393973.95,707426.59,+97.05%,10.71,7.61,+40.75%,230.49,224.37,+2.73%,399787449.61,392157175.8,+1.95%,361381539.74,354627268.6,+1.90%,19738231.09,19738231.09,0.00%,18667678.78,17791676.11,+4.92%,0.0465,9.4095
ADBLD83,10.35% Agricultural Bank Debenture 2083,Bond,"1,090.00",0.00,+0.55%,+1.87%,+3.32%,+3.32%,-3.20%,+0.46%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AHL,Asian Hydropower Limited,Hydro Power,421.00,1.43 Ar,0.00%,-3.66%,-13.55%,-21.46%,-34.16%,+28.12%,-19.31,-21.8,5.9,51964.86,51964.86,0.00%,30152.73,34893.39,-13.59%,-49240.48,-28907.89,+70.34%,-19.31,-17.0,+13.56%,71.36,77.34,-7.73%,1278625.89,1262778.81,+1.25%,1036009.49,999829.81,+3.62%,340000.0,340000.0,0.00%,-97383.6,-77051.01,+26.39%,-0.2706,4.2702
AHPC,Arun Valley Hydropower Development,Hydro Power,261.50,10.06 Ar,+0.54%,-0.95%,-5.60%,-9.83%,-3.24%,+16.68%,4.41,59.28,2.36,229118.16,173056.57,+32.39%,201121.98,152084.27,+32.24%,133685.44,100063.38,+33.60%,4.41,5.2,-15.17%,110.71,115.64,-4.26%,4773912.25,4835832.5,-1.28%,300620.02,385839.18,-22.09%,4040403.15,3848003.0,+5.00%,432889.09,601990.33,-28.09%,0.0398,0.0672
AKJCL,Ankhu Khola Jalvidhyut Company Ltd.,Hydro Power,348.70,6.97 Ar,+0.49%,-2.60%,-13.90%,-14.11%,+68.58%,+101.33%,2.56,136.44,3.77,172480.16,134444.02,+28.29%,142440.52,113009.61,+26.04%,38335.96,46271.04,-17.15%,2.56,4.63,-44.77%,92.42,92.82,-0.43%,2557504.45,2587262.89,-1.15%,709032.42,730855.78,-2.99%,2000000.0,2000000.0,0.00%,-151527.97,-143592.89,+5.53%,0.0277,0.3836
AKPL,Arun Kabeli Power Ltd.,Hydro Power,252.40,9.83 Ar,+0.96%,-1.44%,-5.47%,-8.55%,-0.75%,+11.32%,4.92,51.29,2.44,498284.73,383510.18,+29.93%,447270.46,354894.34,+26.03%,143780.05,154487.61,-6.93%,4.92,7.93,-37.95%,103.42,103.69,-0.27%,7441625.99,7393174.62,+0.66%,3412621.12,3353462.19,+1.76%,3895942.1,3895942.1,0.00%,133062.78,143770.33,-7.45%,0.0476,0.847
ALBSL,Asha Laghubitta Bittiya Sanstha Ltd,Microcredit,"1,061.00",7.78 Ar,-0.36%,-3.37%,-4.41%,-8.68%,+36.71%,+2.49%,29.28,36.24,6.47,1110273.23,717454.27,+54.75%,622200.83,387458.89,+60.58%,176262.59,125574.09,+40.37%,29.28,31.29,-6.42%,163.92,158.08,+3.70%,12040384.92,11742710.76,+2.53%,10724603.8,10473861.81,+2.39%,802685.68,802685.68,0.00%,513095.44,466163.28,+10.07%,0.1786,8.1508
ALICL,Asian Life Insurance,Life Insurance,422.40,21.12 Ar,+0.57%,-3.36%,-6.75%,-10.09%,-10.18%,-21.82%,9.26,45.61,3.69,10062267.52,6537551.0,+53.91%,1353167.6,875913.56,+54.49%,347386.59,263563.46,+31.80%,9.26,10.54,-12.13%,125.01,128.73,-2.89%,60602514.87,59127423.13,+2.49%,54350432.84,52689268.12,+3.15%,5001159.21,5001159.21,0.00%,717318.77,919096.03,-21.95%,0.0741,8.6932
ANLB,Aatmanirbhar Laghubitta Bittiya Sanstha Limited,Microcredit,"6,416.00",5.03 Ar,+10.66%,-8.43%,+9.21%,+0.75%,+29.15%,+2014.84%,82.49,77.78,13.24,165665.49,109231.14,+51.67%,109832.7,71846.97,+52.87%,48469.67,30514.63,+58.84%,82.49,77.9,+5.89%,484.74,428.75,+13.06%,2085564.09,1902697.33,+9.61%,1705803.54,1566800.96,+8.87%,78343.28,78343.28,0.00%,301417.26,257553.08,+17.03%,0.1702,4.4918
APHL,Appolo Hydropower Limited,Hydro Power,879.90,4.14 Ar,+0.95%,-2.02%,+155.34%,+155.34%,+155.34%,+155.34%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
API,Api Power,Hydro Power,325.50,19.78 Ar,-0.76%,-2.81%,-6.73%,-7.26%,+16.43%,+65.41%,13.76,23.65,2.82,1304385.66,959243.24,+35.98%,1130238.0,840391.87,+34.49%,658546.63,426221.66,+54.51%,13.76,14.03,-1.90%,115.32,117.58,-1.92%,16089667.85,14485098.82,+11.08%,8732286.61,7340803.63,+18.96%,6379724.2,6075927.81,+5.00%,977657.04,1068367.39,-8.49%,0.1193,1.1869
AVYAN,Aviyan Laghubitta Bittiya Sanstha Limited,Microcredit,"1,041.00",2.60 Ar,+0.10%,-2.44%,-3.07%,-13.16%,+0.57%,+199.48%,52.53,19.82,6.6,383655.61,266507.46,+43.96%,226058.78,156871.86,+44.10%,98498.19,77360.06,+27.32%,52.53,61.89,-15.12%,157.84,149.39,+5.66%,3669983.76,3632445.01,+1.03%,3275378.55,3258967.45,+0.50%,250000.0,250000.0,0.00%,144605.21,123477.56,+17.11%,0.3328,8.3004
BANDIPUR,Bandipur Cablecar and Tourism Limited,Hotels,701.10,19.84 Ar,-1.67%,-6.02%,-15.02%,-22.28%,+123.64%,+123.64%,-0.77,-915.04,7.63,16608.07,44216.88,-62.44%,2521.87,14056.79,-82.06%,-16262.39,-25431.28,-36.05%,-0.77,-1.8,-57.37%,91.9,92.47,-0.62%,3886144.71,3921311.34,-0.90%,1285457.62,1304361.87,-1.45%,2829993.0,2829993.0,0.00%,-229305.91,-213043.53,+7.63%,-0.0084,0.4943
BARUN,Barun Hydropower,Hydro Power,314.00,3.36 Ar,+0.64%,-2.94%,-7.65%,-14.63%,-25.78%,+57.11%,2.01,155.93,2.92,75366.95,62624.05,+20.35%,64651.07,54218.74,+19.24%,16953.84,21696.03,-21.86%,2.01,4.05,-50.27%,107.72,113.42,-5.03%,1492110.72,1503640.6,-0.77%,282969.3,288163.95,-1.80%,1122532.43,1071630.0,+4.75%,86608.99,143846.65,-39.79%,0.0187,0.234
BBC,Bishal Bazar,Trading,"4,168.00",167.14 Ar,+1.63%,-2.75%,-4.18%,-14.19%,-22.80%,-27.21%,3.67,1134.18,32.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEDC,Bhugol Energy Development Company Limited,Hydro Power,318.10,1.73 Ar,+0.07%,-4.76%,-12.13%,-29.44%,-53.09%,+42.65%,-0.12,-2553.0,6.64,49435.88,40809.28,+21.14%,43175.89,36418.58,+18.55%,-508.41,2946.17,-117.26%,-0.12,1.08,-111.50%,47.88,48.52,-1.31%,839538.46,841642.09,-0.25%,579027.43,577676.47,+0.23%,544053.4,544053.4,0.00%,-283542.36,-280087.78,+1.23%,-0.0025,2.2227
